,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeNumber,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,education_level,environmental_satiscation,job_involvement_label,job_satisfaction_label,performance_rating_label,relationship_satisfaction_label,work_life_balance_label
0,41,Yes,Travel_Rarely,1102,Sales,1,Life Sciences,1,Female,94,2,Sales Executive,Single,5993,19479,8,Yes,11,80,0,8,0,6,4,0,5,College,Medium,High,Very High,Excellent,Low,Bad
1,49,No,Travel_Frequently,279,Research & Development,8,Life Sciences,2,Male,61,2,Research Scientist,Married,5130,24907,1,No,23,80,1,10,3,10,7,1,7,Below College,High,Medium,Medium,Outstanding,Very High,Better
2,37,Yes,Travel_Rarely,1373,Research & Development,2,Other,4,Male,92,1,Laboratory Technician,Single,2090,2396,6,Yes,15,80,0,7,3,0,0,0,0,College,Very High,Medium,High,Excellent,Medium,Better
3,33,No,Travel_Frequently,1392,Research & Development,3,Life Sciences,5,Female,56,1,Research Scientist,Married,2909,23159,1,Yes,11,80,0,8,3,8,7,3,0,Master,Very High,High,High,Excellent,High,Better
4,27,No,Travel_Rarely,591,Research & Development,2,Medical,7,Male,40,1,Laboratory Technician,Married,3468,16632,9,No,12,80,1,6,3,2,2,2,2,Below College,Low,High,Medium,Excellent,Very High,Better
5,32,No,Travel_Frequently,1005,Research & Development,2,Life Sciences,8,Male,79,1,Laboratory Technician,Single,3068,11864,0,No,13,80,0,8,2,7,7,3,6,College,Very High,High,Very High,Excellent,High,Good
6,59,No,Travel_Rarely,1324,Research & Development,3,Medical,10,Female,81,1,Laboratory Technician,Married,2670,9964,4,Yes,20,80,3,12,3,1,0,0,0,Bachelor,High,Very High,Low,Outstanding,Low,Good
7,30,No,Travel_Rarely,1358,Research & Development,24,Life Sciences,11,Male,67,1,Laboratory Technician,Divorced,2693,13335,1,No,22,80,1,1,2,1,0,0,0,Below College,Very High,High,High,Outstanding,Medium,Better
8,38,No,Travel_Frequently,216,Research & Development,23,Life Sciences,12,Male,44,3,Manufacturing Director,Single,9526,8787,0,No,21,80,0,10,2,9,7,1,8,Bachelor,Very High,Medium,High,Outstanding,Medium,Better
9,36,No,Travel_Rarely,1299,Research & Development,27,Medical,13,Male,94,2,Healthcare Representative,Married,5237,16577,6,No,13,80,2,17,3,7,7,7,7,Bachelor,High,High,High,Excellent,Medium,Good
10,35,No,Travel_Rarely,809,Research & Development,16,Medical,14,Male,84,1,Laboratory Technician,Married,2426,16479,0,No,13,80,1,6,5,5,4,0,3,Bachelor,Low,Very High,Medium,Excellent,High,Better
